timestamp,application,log_level,message,user_id,session_id,source_ip,destination_ip,response_code,latency_ms,cpu_usage,memory_usage,disk_io,network_bandwidth,module,error_code
2025-03-01 08:26:48,BankingApp,INFO,Database connection lost,9060,SID-156153,207.194.77.157,191.98.101.110,400,3558,32.79,74.28,40.54,68.77,Transaction,API_TIMEOUT
2025-03-12 08:26:48,FraudDetection,WARNING,User authentication failed,9447,SID-178022,95.99.53.1,206.109.184.56,401,3257,44.17,74.89,34.82,172.65,Transaction,TXN_FAILURE
2025-02-28 08:26:48,LoanProcessing,CRITICAL,API response delayed,1860,SID-876253,37.170.68.183,37.242.202.190,404,4580,30.12,47.23,15.46,595.04,API Gateway,DB_CONN_FAIL
2025-02-24 08:26:48,LoanProcessing,WARNING,API response delayed,4767,SID-529413,198.138.202.156,83.94.190.13,503,4725,55.31,19.54,8.36,405.21,Auth,API_TIMEOUT
2025-03-08 08:26:48,FraudDetection,INFO,API response delayed,3716,SID-846009,162.179.79.73,135.244.241.12,400,387,34.44,70.69,21.05,155.51,Auth,DB_CONN_FAIL
2025-02-19 08:26:48,InsuranceApp,ERROR,User authentication failed,8818,SID-408774,28.65.2.208,211.235.163.34,503,199,26.64,48.07,39.21,974.31,Database,TXN_FAILURE
2025-02-24 08:26:48,LoanProcessing,WARNING,Transaction processed,1270,SID-512986,141.52.37.149,45.135.213.199,503,2112,47.05,58.52,5.49,801.67,Database,TXN_FAILURE
2025-02-17 08:26:48,BankingApp,ERROR,User authentication failed,8589,SID-181617,85.183.81.12,172.249.65.121,404,1842,85.58,54.83,36.64,350.78,Auth,AUTH_401
2025-03-08 08:26:48,FraudDetection,INFO,Transaction processed,7193,SID-904485,235.63.191.8,66.159.21.124,201,1118,26.15,69.14,4.64,223.57,Transaction,NULL
2025-03-12 08:26:48,LoanProcessing,ERROR,Transaction processed,2207,SID-869473,5.174.105.44,9.216.77.204,201,3373,25.64,26.51,7.78,917.59,Transaction,DB_CONN_FAIL
2025-02-23 08:26:48,BankingApp,WARNING,User authentication failed,6649,SID-221858,174.231.208.8,218.243.254.31,200,1340,15.52,44.67,37.17,237.6,Auth,TXN_FAILURE
2025-02-19 08:26:48,BankingApp,WARNING,User authentication failed,6506,SID-421375,84.55.160.80,148.28.11.177,500,4858,49.72,58.59,18.96,475.08,API Gateway,AUTH_401
2025-02-23 08:26:48,LoanProcessing,ERROR,Transaction processed,7917,SID-309391,131.185.70.7,5.85.130.147,404,2508,26.49,28.63,31.39,803.95,API Gateway,DB_CONN_FAIL
2025-02-20 08:26:48,BankingApp,INFO,API response delayed,5862,SID-449767,160.250.96.107,126.106.119.101,502,2098,41.53,63.02,36.33,425.39,Auth,TXN_FAILURE
2025-03-04 08:26:48,BankingApp,WARNING,Transaction processed,5517,SID-298348,180.157.24.130,65.93.111.228,201,1179,14.23,51.52,36.27,434.79,Transaction,DB_CONN_FAIL
2025-02-25 08:26:48,BankingApp,ERROR,User authentication failed,3659,SID-766974,26.92.163.253,108.229.241.209,503,3566,54.61,77.57,21.0,809.47,Auth,API_TIMEOUT
2025-02-25 08:26:48,InsuranceApp,CRITICAL,Database connection lost,9166,SID-658462,9.6.249.168,69.183.174.212,200,1963,56.71,37.38,26.24,652.63,Auth,TXN_FAILURE
2025-03-05 08:26:48,FraudDetection,ERROR,API response delayed,1592,SID-390784,189.228.199.6,118.21.49.225,200,2254,85.93,47.17,40.29,868.56,Auth,API_TIMEOUT
2025-02-23 08:26:48,BankingApp,CRITICAL,Database connection lost,8202,SID-347116,47.147.164.62,255.229.211.65,200,1198,19.97,58.49,9.43,889.04,Database,NULL
2025-03-04 08:26:48,BankingApp,INFO,Transaction processed,5291,SID-424080,197.44.241.247,178.91.170.242,401,926,51.06,62.74,33.46,960.78,Database,NULL
2025-02-19 08:26:48,FraudDetection,WARNING,User authentication failed,4029,SID-350173,120.73.118.172,163.33.240.51,503,3775,41.28,50.11,25.5,723.77,API Gateway,AUTH_401
2025-03-07 08:26:48,LoanProcessing,ERROR,Transaction processed,4530,SID-648848,139.237.12.45,21.207.249.96,503,3727,82.74,64.19,4.24,520.2,Auth,TXN_FAILURE
2025-03-16 08:26:48,LoanProcessing,INFO,Transaction processed,8404,SID-380816,204.85.4.136,244.74.49.28,503,334,88.12,37.1,2.91,629.71,Transaction,AUTH_401
2025-02-23 08:26:48,FraudDetection,WARNING,Transaction processed,4946,SID-825406,137.152.72.21,167.62.230.89,500,829,75.37,41.17,34.0,738.92,API Gateway,API_TIMEOUT
2025-03-05 08:26:48,BankingApp,ERROR,API response delayed,4389,SID-713358,132.160.85.208,186.100.222.36,200,1124,54.26,63.08,26.98,590.49,Transaction,DB_CONN_FAIL
2025-03-18 08:26:48,InsuranceApp,ERROR,API response delayed,5580,SID-909110,50.121.15.86,134.221.82.226,400,2248,76.94,12.9,30.72,788.28,Transaction,TXN_FAILURE
2025-02-28 08:26:48,BankingApp,ERROR,API response delayed,4420,SID-423404,173.26.26.152,78.151.108.174,200,3329,22.77,26.39,46.63,56.92,Database,AUTH_401
2025-02-21 08:26:48,LoanProcessing,INFO,Transaction processed,9236,SID-216416,173.224.152.95,82.188.76.126,201,4743,43.98,45.13,23.13,749.79,Transaction,API_TIMEOUT
2025-03-18 08:26:48,InsuranceApp,WARNING,User authentication failed,7672,SID-299667,122.54.104.216,120.153.249.176,400,3010,68.4,67.74,19.61,507.59,Transaction,TXN_FAILURE
2025-03-18 08:26:48,BankingApp,WARNING,Database connection lost,6427,SID-687410,129.168.154.80,112.131.15.113,201,2015,50.52,65.75,36.09,389.73,Database,AUTH_401
2025-03-10 08:26:48,LoanProcessing,CRITICAL,Transaction processed,2605,SID-774202,227.216.72.176,204.24.170.132,200,1681,83.0,35.05,36.04,512.99,Auth,API_TIMEOUT
2025-03-12 08:26:48,InsuranceApp,INFO,Transaction processed,1059,SID-204965,104.109.160.73,112.233.191.133,400,3469,60.79,40.22,28.49,783.11,Database,AUTH_401
2025-03-01 08:26:48,InsuranceApp,ERROR,User authentication failed,5775,SID-345352,212.189.56.225,199.252.30.165,403,3433,46.81,27.73,8.16,88.64,Auth,TXN_FAILURE
2025-03-07 08:26:48,BankingApp,CRITICAL,API response delayed,9850,SID-831840,40.158.162.191,225.204.13.134,404,1066,17.27,72.5,16.64,375.49,Auth,AUTH_401
2025-03-03 08:26:48,BankingApp,ERROR,API response delayed,2282,SID-615772,113.38.153.114,45.236.122.206,502,170,81.93,37.98,8.47,612.62,Transaction,AUTH_401
2025-02-18 08:26:48,FraudDetection,ERROR,User authentication failed,4797,SID-522994,240.125.87.225,82.220.124.122,502,1645,37.05,48.77,44.83,876.86,Transaction,AUTH_401
2025-03-04 08:26:48,FraudDetection,CRITICAL,API response delayed,5250,SID-848918,159.88.170.68,255.213.255.217,201,3750,88.72,44.32,2.05,428.88,Database,API_TIMEOUT
2025-02-24 08:26:48,BankingApp,WARNING,Transaction processed,6972,SID-445808,138.172.162.254,161.197.171.37,502,1915,31.05,60.56,11.71,121.33,API Gateway,API_TIMEOUT
2025-02-26 08:26:48,FraudDetection,WARNING,API response delayed,6555,SID-743616,179.133.226.129,149.227.244.68,401,1792,38.87,50.81,22.36,687.58,Transaction,AUTH_401
2025-03-19 08:26:48,FraudDetection,WARNING,API response delayed,8079,SID-612181,130.47.9.131,88.38.24.39,503,4570,48.69,28.95,0.16,964.93,Auth,NULL
2025-03-06 08:26:48,LoanProcessing,INFO,API response delayed,2567,SID-805885,253.253.20.156,54.80.155.149,403,2893,39.24,71.26,22.84,761.16,Transaction,DB_CONN_FAIL
2025-03-08 08:26:48,InsuranceApp,INFO,Transaction processed,6242,SID-849862,147.189.45.21,248.21.63.101,502,4967,79.67,38.85,27.24,803.58,Database,NULL
2025-02-24 08:26:48,InsuranceApp,WARNING,API response delayed,8357,SID-697283,108.114.51.238,22.124.131.140,404,1885,38.11,11.4,16.93,975.97,Transaction,TXN_FAILURE
2025-03-16 08:26:48,BankingApp,ERROR,User authentication failed,4982,SID-581265,243.1.135.90,105.143.196.26,404,1803,17.96,10.05,3.24,278.3,Transaction,NULL
2025-02-18 08:26:48,LoanProcessing,CRITICAL,Transaction processed,6986,SID-527910,43.58.83.14,171.23.88.51,401,1918,79.26,23.0,19.07,878.85,Transaction,NULL
2025-02-22 08:26:48,InsuranceApp,ERROR,Transaction processed,7083,SID-888327,66.96.134.174,253.146.222.67,503,4486,69.48,74.66,24.35,53.7,Auth,TXN_FAILURE
2025-03-11 08:26:48,InsuranceApp,WARNING,Database connection lost,3417,SID-426952,84.122.221.188,121.248.142.88,403,185,55.35,29.73,47.02,40.85,Transaction,AUTH_401
2025-03-12 08:26:48,FraudDetection,ERROR,User authentication failed,4096,SID-755736,234.58.51.226,131.23.98.251,500,128,19.33,55.44,44.6,33.24,Auth,DB_CONN_FAIL
2025-02-22 08:26:48,LoanProcessing,CRITICAL,API response delayed,3342,SID-908840,63.78.178.75,16.60.190.111,403,4986,37.75,58.57,21.86,637.92,API Gateway,NULL
2025-03-14 08:26:48,FraudDetection,INFO,Database connection lost,3396,SID-790366,166.112.145.113,78.124.15.49,404,318,12.42,79.29,31.83,261.2,Transaction,API_TIMEOUT
2025-03-14 08:26:48,FraudDetection,WARNING,User authentication failed,5952,SID-838041,202.210.12.41,247.220.32.166,201,560,65.57,28.4,16.68,324.69,Database,TXN_FAILURE
2025-03-02 08:26:48,LoanProcessing,INFO,API response delayed,1840,SID-149347,2.247.238.88,159.162.50.229,400,2645,23.53,28.5,35.23,185.05,Database,API_TIMEOUT
2025-03-01 08:26:48,InsuranceApp,WARNING,Database connection lost,8800,SID-129237,170.202.98.63,229.37.11.18,400,2439,65.63,53.02,15.97,275.24,Auth,API_TIMEOUT
2025-02-20 08:26:48,LoanProcessing,CRITICAL,API response delayed,2201,SID-134112,198.77.255.88,106.70.76.192,404,3204,78.75,69.72,9.8,974.1,Transaction,NULL
2025-03-08 08:26:48,BankingApp,WARNING,Database connection lost,4903,SID-724495,32.149.155.195,41.169.182.25,400,1358,68.47,29.8,32.51,553.56,Database,TXN_FAILURE
2025-03-06 08:26:48,FraudDetection,WARNING,Database connection lost,4140,SID-567179,189.96.125.93,24.65.82.164,503,3042,29.45,31.08,29.53,286.2,API Gateway,NULL
2025-03-02 08:26:48,InsuranceApp,CRITICAL,Transaction processed,8150,SID-836916,9.21.131.113,220.193.221.114,502,627,40.97,16.7,1.41,555.81,Database,API_TIMEOUT
2025-03-04 08:26:48,BankingApp,CRITICAL,Database connection lost,8457,SID-495469,52.98.91.219,221.26.20.91,201,1090,60.84,33.83,40.51,519.76,Database,NULL
2025-03-07 08:26:48,InsuranceApp,CRITICAL,API response delayed,7274,SID-967993,113.106.52.63,71.52.128.21,400,1768,43.3,61.99,37.67,798.29,Database,DB_CONN_FAIL
2025-03-10 08:26:48,LoanProcessing,INFO,Transaction processed,2325,SID-830323,232.210.40.76,143.129.21.103,503,2807,75.47,37.84,26.63,637.87,API Gateway,TXN_FAILURE
2025-02-18 08:26:48,FraudDetection,ERROR,API response delayed,9780,SID-327632,157.29.221.72,108.220.204.105,200,3465,87.26,23.58,7.28,613.13,API Gateway,DB_CONN_FAIL
2025-02-26 08:26:48,FraudDetection,INFO,Transaction processed,4245,SID-299454,83.79.229.168,28.3.75.165,500,3932,73.22,71.87,23.46,902.12,API Gateway,TXN_FAILURE
2025-03-01 08:26:48,FraudDetection,ERROR,API response delayed,5788,SID-149891,68.129.190.167,41.171.28.17,500,1718,88.33,25.1,42.4,859.28,Auth,NULL
2025-03-08 08:26:48,FraudDetection,INFO,API response delayed,4434,SID-572621,27.186.1.13,52.158.21.116,404,768,45.83,65.48,25.39,436.0,Transaction,API_TIMEOUT
2025-03-15 08:26:48,InsuranceApp,INFO,Transaction processed,4854,SID-233544,200.5.14.83,201.228.65.157,404,4279,82.97,29.28,18.41,610.9,Auth,TXN_FAILURE
2025-02-22 08:26:48,FraudDetection,ERROR,API response delayed,1838,SID-815991,118.33.69.214,62.180.29.78,200,817,26.34,49.98,35.28,709.39,Auth,NULL
2025-03-07 08:26:48,BankingApp,ERROR,Transaction processed,7878,SID-426870,164.78.207.191,135.25.24.174,503,445,23.03,32.53,46.66,673.5,Transaction,NULL
2025-03-11 08:26:48,InsuranceApp,CRITICAL,API response delayed,7066,SID-589758,11.114.209.208,134.105.156.54,502,3887,19.05,11.41,41.14,752.22,Auth,API_TIMEOUT
2025-02-17 08:26:48,FraudDetection,WARNING,Transaction processed,2281,SID-760788,136.21.143.236,127.36.233.190,403,2804,81.07,63.03,1.0,481.68,Auth,NULL
2025-03-16 08:26:48,LoanProcessing,ERROR,Database connection lost,7716,SID-332146,192.63.176.57,96.50.31.130,403,1761,68.9,67.78,47.8,743.71,Database,DB_CONN_FAIL
2025-03-16 08:26:48,LoanProcessing,ERROR,User authentication failed,6162,SID-468241,182.29.43.220,172.23.240.106,400,2008,73.0,43.74,0.24,619.98,Auth,AUTH_401
2025-02-18 08:26:48,BankingApp,WARNING,Transaction processed,6141,SID-795947,230.166.230.72,10.164.61.216,201,4533,28.55,51.29,34.64,766.79,Database,AUTH_401
2025-03-07 08:26:48,FraudDetection,CRITICAL,Database connection lost,2352,SID-298454,184.83.123.101,29.137.207.129,400,1177,60.43,67.51,44.57,840.07,Transaction,AUTH_401
2025-03-18 08:26:48,BankingApp,CRITICAL,Database connection lost,8948,SID-711594,157.201.173.141,163.114.221.145,502,2950,45.91,23.96,18.01,107.27,Transaction,NULL
2025-03-05 08:26:48,BankingApp,ERROR,User authentication failed,2947,SID-900844,211.17.116.16,244.68.164.13,201,2301,22.52,35.71,48.11,765.18,Auth,TXN_FAILURE
2025-03-07 08:26:48,FraudDetection,INFO,Transaction processed,2329,SID-478601,5.126.244.202,168.144.98.215,201,2076,76.1,22.66,46.88,724.57,Transaction,TXN_FAILURE
2025-03-18 08:26:48,LoanProcessing,ERROR,User authentication failed,6017,SID-762536,150.226.172.226,2.140.171.138,500,3309,57.42,38.06,13.06,535.65,Auth,API_TIMEOUT
2025-03-09 08:26:48,FraudDetection,INFO,Transaction processed,3404,SID-602231,184.66.235.45,158.204.182.156,400,4880,38.38,16.43,44.29,473.44,API Gateway,DB_CONN_FAIL
2025-03-02 08:26:48,BankingApp,WARNING,Database connection lost,8630,SID-319168,174.122.233.212,149.80.226.95,200,786,86.84,25.17,2.38,138.25,Transaction,DB_CONN_FAIL
2025-02-20 08:26:48,BankingApp,ERROR,Database connection lost,4503,SID-900676,147.83.8.45,80.102.191.179,403,4241,59.62,22.7,39.44,672.73,Database,API_TIMEOUT
2025-02-19 08:26:48,FraudDetection,INFO,Transaction processed,6851,SID-381290,135.82.80.87,36.227.90.250,400,157,17.35,78.96,31.91,632.86,Transaction,TXN_FAILURE
2025-02-17 08:26:48,FraudDetection,WARNING,User authentication failed,9011,SID-455859,102.213.221.38,201.142.232.210,201,339,19.66,19.49,11.27,962.41,Transaction,DB_CONN_FAIL
2025-03-17 08:26:48,InsuranceApp,WARNING,Transaction processed,5935,SID-957621,162.250.54.23,138.125.149.18,502,2445,50.81,40.54,45.61,944.43,Auth,DB_CONN_FAIL
2025-03-07 08:26:48,FraudDetection,WARNING,Transaction processed,3979,SID-411619,236.172.27.169,33.165.134.246,403,3248,29.9,50.33,8.68,871.5,Transaction,AUTH_401
2025-02-17 08:26:48,FraudDetection,WARNING,Transaction processed,1781,SID-789856,190.30.246.75,119.174.179.236,502,3991,63.72,66.38,34.22,984.36,Transaction,API_TIMEOUT
2025-02-28 08:26:48,BankingApp,INFO,Database connection lost,8753,SID-655498,117.190.158.8,177.31.171.128,201,2253,65.35,76.98,45.44,57.99,Auth,API_TIMEOUT
2025-03-02 08:26:48,FraudDetection,WARNING,User authentication failed,3281,SID-989477,142.89.28.243,108.98.196.139,403,3974,73.05,77.26,18.66,318.4,API Gateway,TXN_FAILURE
2025-02-22 08:26:48,LoanProcessing,ERROR,Transaction processed,2069,SID-186822,74.153.43.181,186.203.116.84,503,1428,46.8,62.75,35.56,657.72,Transaction,DB_CONN_FAIL
2025-03-03 08:26:48,BankingApp,ERROR,Database connection lost,3378,SID-530276,147.14.105.138,36.29.116.71,502,2768,78.57,39.9,24.06,327.66,API Gateway,NULL
2025-03-18 08:26:48,BankingApp,ERROR,Database connection lost,7459,SID-633551,148.141.63.159,130.39.15.97,200,4341,15.48,51.28,18.92,235.5,API Gateway,TXN_FAILURE
2025-03-07 08:26:48,FraudDetection,ERROR,User authentication failed,3846,SID-175081,236.26.36.155,110.60.113.54,500,1825,18.48,48.87,42.45,804.29,Transaction,API_TIMEOUT
2025-02-22 08:26:48,LoanProcessing,ERROR,API response delayed,3011,SID-216855,202.156.210.170,8.28.214.182,503,4398,74.5,67.16,6.81,783.55,Transaction,AUTH_401
2025-03-18 08:26:48,BankingApp,CRITICAL,API response delayed,6963,SID-255119,166.202.68.171,58.68.166.129,200,331,63.57,66.19,8.13,929.44,Auth,DB_CONN_FAIL
2025-02-17 08:26:48,InsuranceApp,INFO,Transaction processed,2284,SID-171569,255.133.73.219,6.109.186.133,201,523,27.27,19.39,44.47,170.57,API Gateway,DB_CONN_FAIL
2025-02-27 08:26:48,BankingApp,CRITICAL,Database connection lost,9245,SID-560772,160.165.248.23,234.40.98.62,201,1129,54.31,23.99,31.58,284.38,Auth,TXN_FAILURE
2025-03-09 08:26:48,FraudDetection,ERROR,API response delayed,3055,SID-680645,88.231.55.159,137.249.41.112,400,2998,14.95,63.5,24.23,379.79,Database,TXN_FAILURE
2025-03-03 08:26:48,BankingApp,CRITICAL,Database connection lost,6279,SID-951609,240.88.250.146,169.245.12.212,502,4252,54.59,56.12,36.88,444.4,Database,NULL
2025-03-07 08:26:48,InsuranceApp,ERROR,Database connection lost,6621,SID-822992,54.91.54.249,149.41.41.245,500,1782,25.09,72.45,25.18,508.93,Database,DB_CONN_FAIL
2025-03-17 08:26:48,LoanProcessing,WARNING,Transaction processed,6353,SID-465983,25.221.111.57,16.34.56.166,404,1415,69.15,57.65,49.44,26.01,API Gateway,AUTH_401
2025-03-19 08:26:48,LoanProcessing,CRITICAL,API response delayed,7725,SID-969208,18.159.66.95,171.95.157.224,401,4809,30.44,74.44,41.43,384.34,Transaction,API_TIMEOUT
2025-03-14 08:26:48,BankingApp,WARNING,User authentication failed,7237,SID-884555,107.190.75.254,222.109.116.76,401,4694,30.01,49.77,26.07,280.19,Database,TXN_FAILURE
2025-03-06 08:26:48,BankingApp,INFO,Transaction processed,8101,SID-517675,173.92.64.30,129.150.85.103,500,2813,44.47,14.08,22.19,446.55,Transaction,NULL
2025-02-25 08:26:48,InsuranceApp,WARNING,API response delayed,9380,SID-549442,172.227.168.94,25.48.231.240,502,870,19.95,40.43,31.27,656.06,Database,TXN_FAILURE
2025-03-17 08:26:48,LoanProcessing,INFO,Transaction processed,4860,SID-286370,217.86.206.198,200.245.155.208,401,1451,41.98,15.94,49.51,463.93,Database,DB_CONN_FAIL
2025-03-08 08:26:48,FraudDetection,WARNING,User authentication failed,3807,SID-135754,208.57.242.211,152.231.165.127,404,2061,13.3,37.84,45.39,782.82,Auth,DB_CONN_FAIL
2025-03-07 08:26:48,LoanProcessing,INFO,Database connection lost,7027,SID-837318,54.149.64.16,224.199.120.254,200,2095,48.97,58.56,47.05,777.02,Transaction,API_TIMEOUT
2025-02-24 08:26:48,FraudDetection,CRITICAL,API response delayed,5773,SID-504361,108.141.164.221,248.36.18.157,503,3388,21.72,23.6,44.99,862.67,Database,API_TIMEOUT
2025-02-17 08:26:48,BankingApp,ERROR,API response delayed,6266,SID-996794,248.134.177.200,97.213.154.52,403,3516,71.12,34.91,42.2,63.94,Database,NULL
2025-02-26 08:26:48,LoanProcessing,ERROR,API response delayed,3017,SID-689883,7.1.121.63,111.210.199.14,403,1244,20.17,51.94,22.84,705.41,Auth,AUTH_401
2025-03-10 08:26:48,FraudDetection,ERROR,Database connection lost,7896,SID-506977,55.236.61.210,160.208.59.23,503,2699,73.02,74.89,10.76,101.07,API Gateway,API_TIMEOUT
2025-02-20 08:26:48,FraudDetection,WARNING,Transaction processed,2990,SID-216409,147.22.224.46,86.68.10.156,403,3530,69.13,29.59,28.01,138.42,Auth,AUTH_401
2025-03-13 08:26:48,LoanProcessing,CRITICAL,Database connection lost,2489,SID-882471,24.198.5.229,236.196.174.97,401,1262,85.94,23.3,31.99,64.18,Auth,DB_CONN_FAIL
2025-02-18 08:26:48,BankingApp,INFO,User authentication failed,3396,SID-240171,188.167.213.178,203.58.36.35,201,3131,59.93,52.96,44.1,570.33,Database,AUTH_401
2025-03-14 08:26:48,InsuranceApp,INFO,User authentication failed,9162,SID-138054,118.195.156.141,69.8.155.188,500,142,48.84,43.61,43.2,895.05,Auth,DB_CONN_FAIL
2025-03-07 08:26:48,LoanProcessing,INFO,User authentication failed,9106,SID-970321,192.37.51.242,100.201.74.93,403,3626,71.75,18.44,20.49,982.27,Auth,TXN_FAILURE
2025-02-20 08:26:48,BankingApp,WARNING,Transaction processed,3079,SID-514560,38.51.23.254,107.238.141.65,500,1558,84.27,24.68,26.94,748.66,API Gateway,DB_CONN_FAIL
2025-03-05 08:26:48,LoanProcessing,INFO,API response delayed,9877,SID-568553,101.12.227.67,26.90.132.231,201,3560,85.32,63.11,24.08,713.25,Database,TXN_FAILURE
2025-03-03 08:26:48,FraudDetection,WARNING,Transaction processed,6033,SID-921717,182.27.20.221,26.129.6.80,503,2293,70.31,55.62,8.26,791.42,Transaction,AUTH_401
2025-03-11 08:26:48,LoanProcessing,WARNING,User authentication failed,8813,SID-339154,233.191.59.100,198.119.17.187,401,4477,49.89,11.38,34.76,499.29,API Gateway,TXN_FAILURE
2025-03-05 08:26:48,InsuranceApp,CRITICAL,Transaction processed,7498,SID-312146,251.251.140.32,247.107.228.189,400,4122,74.47,72.93,31.32,225.55,Transaction,NULL
2025-03-12 08:26:48,InsuranceApp,ERROR,User authentication failed,8907,SID-610771,243.27.148.36,89.166.45.68,400,4644,46.62,35.15,3.39,137.91,Database,DB_CONN_FAIL
2025-03-10 08:26:48,BankingApp,CRITICAL,Transaction processed,2786,SID-133728,43.118.225.23,246.6.120.9,200,3448,22.59,48.8,29.88,577.41,Database,NULL
2025-03-15 08:26:48,FraudDetection,INFO,User authentication failed,3464,SID-371748,73.65.113.137,240.223.80.14,401,261,51.55,66.04,44.75,236.08,Transaction,AUTH_401
2025-03-17 08:26:48,FraudDetection,INFO,Database connection lost,5058,SID-757245,145.105.157.69,198.199.39.216,400,1724,56.72,67.65,42.35,667.58,Database,API_TIMEOUT
